Date,Open,High,Low,Close,Volume
2021-03-16 01:38:41,3.215,3.215,3.215,3.215,300
2021-03-16 01:38:49,3.21,3.21,3.21,3.21,100
2021-03-16 01:38:53,3.21,3.2101,3.2,3.21,6349
2021-03-16 01:38:54,3.2,3.2102,3.2,3.2102,10000
2021-03-16 01:38:55,3.21,3.25,3.21,3.25,20000
2021-03-16 01:39:04,3.23,3.23,3.23,3.23,200
2021-03-16 01:39:10,3.22,3.22,3.22,3.22,972
2021-03-16 01:39:11,3.22,3.22,3.22,3.22,1018
2021-03-16 01:39:17,3.22,3.22,3.22,3.22,500
2021-03-16 01:39:23,3.21,3.2102,3.2002,3.2002,6500
2021-03-16 01:39:28,3.215,3.215,3.215,3.215,1000
2021-03-16 01:39:33,3.215,3.23,3.215,3.23,3009
2021-03-16 01:39:34,3.215,3.215,3.215,3.215,100
2021-03-16 01:39:35,3.215,3.25,3.215,3.237,25700
2021-03-16 01:39:38,3.22,3.22,3.22,3.22,1200
2021-03-16 01:39:49,3.225,3.225,3.225,3.225,1000
2021-03-16 01:39:54,3.225,3.225,3.225,3.225,100
2021-03-16 01:40:09,3.22,3.22,3.22,3.22,200
2021-03-16 01:40:10,3.215,3.28,3.21,3.28,11375
2021-03-16 01:40:15,3.27,3.28,3.27,3.28,800
2021-03-16 01:40:20,3.2492,3.2492,3.2492,3.2492,564
2021-03-16 01:40:24,3.2673,3.2673,3.2673,3.2673,362
2021-03-16 01:40:26,3.28,3.28,3.2799,3.2799,1600
2021-03-16 01:40:29,3.245,3.245,3.245,3.245,1500
2021-03-16 01:40:37,3.255,3.28,3.255,3.2687,300
2021-03-16 01:40:55,3.275,3.28,3.27,3.27,700
2021-03-16 01:40:56,3.28,3.28,3.27,3.2799,5600
2021-03-16 01:40:57,3.27,3.27,3.21,3.21,9952
2021-03-16 01:40:58,3.2799,3.2799,3.2799,3.2799,1515
2021-03-16 01:41:01,3.28,3.28,3.28,3.28,500
2021-03-16 01:41:04,3.2799,3.2799,3.2799,3.2799,100
2021-03-16 01:41:07,3.2799,3.28,3.2799,3.28,200
2021-03-16 01:41:18,3.2799,3.2799,3.2799,3.2799,100
2021-03-16 01:41:32,3.27,3.27,3.27,3.27,500
2021-03-16 01:41:34,3.266,3.266,3.266,3.266,150
2021-03-16 01:41:38,3.27,3.27,3.27,3.27,304
2021-03-16 01:41:43,3.275,3.275,3.275,3.275,510
2021-03-16 01:41:49,3.27,3.28,3.27,3.28,1450
2021-03-16 01:41:51,3.28,3.28,3.28,3.28,150
2021-03-16 01:41:53,3.27,3.27,3.27,3.27,332
2021-03-16 01:41:54,3.27,3.27,3.27,3.27,514
2021-03-16 01:41:59,3.23,3.23,3.23,3.23,173
2021-03-16 01:42:02,3.23,3.23,3.23,3.23,180
2021-03-16 01:42:04,3.251,3.255,3.251,3.255,855
2021-03-16 01:42:06,3.255,3.255,3.255,3.255,200
2021-03-16 01:42:07,3.255,3.255,3.255,3.255,567
2021-03-16 01:42:09,3.2596,3.2596,3.255,3.255,526
2021-03-16 01:42:11,3.255,3.255,3.255,3.255,100
2021-03-16 01:42:13,3.255,3.255,3.255,3.255,535
2021-03-16 01:42:14,3.25,3.25,3.25,3.25,665
2021-03-16 01:42:16,3.255,3.255,3.25,3.25,500
2021-03-16 01:42:19,3.255,3.255,3.255,3.255,500
2021-03-16 01:42:20,3.255,3.28,3.255,3.28,5000
2021-03-16 01:42:24,3.25,3.25,3.25,3.25,400
2021-03-16 01:42:27,3.25,3.25,3.25,3.25,1167
2021-03-16 01:42:28,3.25,3.25,3.25,3.25,2650
2021-03-16 01:42:29,3.25,3.25,3.25,3.25,133
2021-03-16 01:42:32,3.25,3.25,3.25,3.25,123
2021-03-16 01:42:33,3.2675,3.2675,3.2675,3.2675,450
2021-03-16 01:42:36,3.25,3.25,3.25,3.25,168
2021-03-16 01:42:40,3.25,3.25,3.25,3.25,1500
2021-03-16 01:42:41,3.25,3.25,3.25,3.25,400
2021-03-16 01:42:43,3.23,3.23,3.23,3.23,724
2021-03-16 01:42:44,3.23,3.23,3.23,3.23,533
2021-03-16 01:42:45,3.23,3.23,3.23,3.23,400
2021-03-16 01:42:46,3.23,3.23,3.23,3.23,117
2021-03-16 01:42:47,3.23,3.23,3.23,3.23,133
2021-03-16 01:42:50,3.24,3.24,3.24,3.24,1000
2021-03-16 01:42:52,3.23,3.23,3.23,3.23,1701
2021-03-16 01:42:53,3.23,3.23,3.23,3.23,296
2021-03-16 01:42:54,3.24,3.24,3.23,3.23,924
2021-03-16 01:42:55,3.23,3.23,3.23,3.23,666
2021-03-16 01:42:58,3.27,3.27,3.27,3.27,1071
2021-03-16 01:43:03,3.25,3.25,3.25,3.25,117
2021-03-16 01:43:11,3.2599,3.2599,3.2599,3.2599,100
2021-03-16 01:43:13,3.25,3.25,3.25,3.25,172
2021-03-16 01:43:14,3.2599,3.2599,3.2599,3.2599,300
2021-03-16 01:43:16,3.26,3.26,3.26,3.26,128
2021-03-16 01:43:23,3.26,3.26,3.26,3.26,500
2021-03-16 01:43:33,3.25,3.25,3.25,3.25,125
2021-03-16 01:43:36,3.255,3.28,3.2502,3.28,11200
2021-03-16 01:43:45,3.26,3.26,3.26,3.26,200
